Wav (nm)	CalR)	Wav (nm)	MeasuredR	Torg (nm)	Tmir (nm)	
Wavelength (nm) - Plot 0	Reflectance - Plot 0	Wavelength (nm) - ÇúÏß 1	Reflectance - ÇúÏß 1	
		772.63	0.94	
		772.95	0.95	
		773.26	0.95	
		773.58	0.95	
		773.89	0.93	
		774.21	0.94	
		774.52	0.94	
		774.84	0.94	
		775.15	0.95	
		775.47	0.93	
		775.78	0.95	
		776.10	0.94	
		776.41	0.94	
		776.73	0.95	
		777.04	0.94	
		777.36	0.94	
		777.67	0.95	
		777.99	0.96	
		778.30	0.94	
		778.62	0.94	
		778.93	0.93	
		779.25	0.94	
		779.56	0.95	
		779.88	0.94	
		780.19	0.97	
		780.50	0.94	
		780.82	0.93	
		781.13	0.95	
